model,oof_rmse,fold_mean,fold_std
poly2_ridge,30.03885170907136,29.998162255289884,1.5629693870580148
kernel_ridge_rbf,33.90629399655003,33.57520737576505,4.726755996966311
svr_rbf,39.050420191790124,38.50270343671612,6.517449287847057
power_poly2_ridge,41.885912563256184,41.65873594588076,4.356534247326112
extra_trees,43.50919186520446,43.49638945602999,1.055405634122415
hist_gbr_l2,47.87385587743582,47.70250083222798,4.046911282050226
gbr,49.61412156426416,49.391617766035345,4.6935224562629285
random_forest,54.29943704620092,54.21165677656556,3.0862814314625138
elasticnet_std,87.60075096447045,87.58413140406232,1.7063105623294053
ridge_std,87.66072228699508,87.64170354286395,1.8259331812591417
bayesian_ridge_std,87.67263235974794,87.65395544159159,1.8095746270861863
poly3_ridge,178.54153715393656,118.40020971832139,133.6355896756101
