seed,oof_rmse,fold_mean,fold_std
1,22.037740336222384,21.957689249577133,1.8766677771432867
7,22.32596578659229,22.26734499533911,1.6168163663928123
21,21.856911617505972,21.687035388917657,2.719757617013093
42,22.206526900091276,22.150848456175048,1.5715437111467738
99,23.096940019044037,23.000398685682853,2.109573071253189
